"","Athlete","Team","Score","Remark","Sex","Form","Group"
"1411","KOKUMBEK KYZY Eles","KGZ","8.54","","W","Shuangjian -","Group D"
"1412","MEDRANO MENDOZA Yessenia Arizbeth","MEX","8.53","","W","Shuangjian -","Group D"
"1413","ONDROVI?OVÁ Lenka","SVK","8.51","","W","Shuangjian -","Group D"
"1414","HEMLI Sirine","TUN","8.4","","W","Shuangjian -","Group D"
"1415","AKYUZ Elif","TUR","(DNS)","","W","Shuangjian -","Group D"
"1416","YAZYKOVA Maryna","UKR","(DNS)","","W","Shuangjian -","Group D"
"1417","MATOS COSTA Mafalda","PRT","8.58","1ST Prize","W","Jian (Straight Sword)-","Group E"
"1418","ARUTYUNJAN Maria","HUN","8.49","2ND Prize","W","Jian (Straight Sword)-","Group E"
"1419","GAO Lin","USA","8.42","3RD Prize","W","Jian (Straight Sword)-","Group E"
"1420","KONSTANTINOU Maria","GRC","8.4","3RD Prize","W","Jian (Straight Sword)-","Group E"
"1421","WANG Zhong","CHN","8.31","","W","Jian (Straight Sword)-","Group E"
"1422","LI Jinsong","CHN","8.72","1ST Prize","W","Other Single-Weapon Routines-","Group D"
"1423","SIRTO Elisabetta","ITA","8.7","1ST Prize","W","Other Single-Weapon Routines-","Group D"
"1424","NGUYEN Thi Thao Nguyen","VNM","8.66","2ND Prize","W","Other Single-Weapon Routines-","Group D"
"1425","ALENCAR RIBEIRO Regina Helena","BRA","8.58","2ND Prize","W","Other Single-Weapon Routines-","Group D"
"1426","HATALOVÁ Hanka","SVK","8.56","2ND Prize","W","Other Single-Weapon Routines-","Group D"
"1427","BENCINI CRUZ Silvia","PRT","8.55","3RD Prize","W","Other Single-Weapon Routines-","Group D"
"1428","TASHMATOVA Aisalkyn","KGZ","8.54","3RD Prize","W","Other Single-Weapon Routines-","Group D"
"1429","PODAKANTI Pavithra Chary","IND","8.53","3RD Prize","W","Other Single-Weapon Routines-","Group D"
"1430","NASCIMENTO CELESTINO GUERREIRO Suelen Cristina","BRA","8.52","3RD Prize","W","Other Single-Weapon Routines-","Group D"
"1431","JACOBS Bianca Candice","ZAF","8.52","3RD Prize","W","Other Single-Weapon Routines-","Group D"
"1432","KOKOLESI Elena","GRC","8.51","","W","Other Single-Weapon Routines-","Group D"
"1433","PANECATL URQUIZA Karen Priscila","MEX","8.5","","W","Other Single-Weapon Routines-","Group D"
"1434","MICU Lorena Eliana","ROU","8.48","","W","Other Single-Weapon Routines-","Group D"
"1435","DU PLESSIS Nerine","ZAF","8.45","","W","Other Single-Weapon Routines-","Group D"
"1436","VATZAKA Maria Eleni","GRC","8.44","","W","Other Single-Weapon Routines-","Group D"
"1437","ZHU Ieng Ieng","MAC","8.26","","W","Other Single-Weapon Routines-","Group D"
"1438","KEN Rui Xin","SGP","(DNS)","","W","Other Single-Weapon Routines-","Group D"
"1439","HEIDTMANN Anna Paulina","DEU","(DNS)","","W","Other Single-Weapon Routines-","Group D"
"1440","HAN Junxia","CHN","8.79","1ST Prize","W","Other Single-Weapon Routines-","Group E/F"
"1441","AMIDANI SOARES DE AZEVEDO Paula","BRA","8.59","1ST Prize","W","Other Single-Weapon Routines-","Group E/F"
"1442","KOKKINAKI Anna","GRC","8.57","1ST Prize","W","Other Single-Weapon Routines-","Group E/F"
"1443","HO Lai Sim","MAC","8.56","2ND Prize","W","Other Single-Weapon Routines-","Group E/F"
"1444","MAK Angela Jia Li","AUS","8.55","2ND Prize","W","Other Single-Weapon Routines-","Group E/F"
"1445","ROMANO CARDOSO SILVESTRE Nina","BRA","8.5","2ND Prize","W","Other Single-Weapon Routines-","Group E/F"
"1446","CHRYSOSTOMOU Daniela","ZAF","8.49","3RD Prize","W","Other Single-Weapon Routines-","Group E/F"
"1447","Michele Maki NAKASONE","GBR","8.47","3RD Prize","W","Other Single-Weapon Routines-","Group E/F"
"1448","KHOO Cheng Choo","AUS","8.45","3RD Prize","W","Other Single-Weapon Routines-","Group E/F"
"1449","SERIAKOVA Liubov","KGZ","8.44","3RD Prize","W","Other Single-Weapon Routines-","Group E/F"
"1450","PAVLENKO Elena","KGZ","8.42","","W","Other Single-Weapon Routines-","Group E/F"
"1451","HERMANS Rosemary","AUS","8.39","","W","Other Single-Weapon Routines-","Group E/F"
"1452","ROVIRA-ALVAREZ Carmen Margarita","USA","8.36","","W","Other Single-Weapon Routines-","Group E/F"
"1453","TRAN CONG Francine","FRA","(DNS)","","W","Other Single-Weapon Routines-","Group E/F"
"1454","DAI Weilong","CHN","8.87","2ND Prize","W","Other Soft-Weapon Routines-","Group D/E"
"1455","YEUNG Michelle","HKG","8.72","3RD Prize","W","Other Soft-Weapon Routines-","Group D/E"
"1456","KAZAKOVA Elena","LVA","8.44","","W","Other Soft-Weapon Routines-","Group D/E"
"1457","TEMIME Kahina","DZA","(DNS)","","W","Other Soft-Weapon Routines-","Group D/E"
"1458","MOHAND SAIDI Katia","DZA","(DNS)","","W","Other Soft-Weapon Routines-","Group D/E"
"1459","ENGEL Beata","POL","8.55","1ST Prize","W","Other Double-Weapon Routines-","Group E/F"
"1460","RAMOS CANDEIAS Irene Regina","PRT","8.54","2ND Prize","W","Other Double-Weapon Routines-","Group E/F"
"1461","DE SALES SOARES DE MELO Cristina","PRT","8.52","3RD Prize","W","Other Double-Weapon Routines-","Group E/F"
"1462","PAPADOPOULOU Elisavet","GRC","8.5","3RD Prize","W","Other Double-Weapon Routines-","Group E/F"
"1463","GALLARDO PAJUELO Ana","ESP","8.48","","W","Other Double-Weapon Routines-","Group E/F"
"1464","ROMERO Sabine","FRA","8.45","","W","Other Double-Weapon Routines-","Group E/F"
"1465","PHAN Van Anh Hao","VNM","8.61","2ND Prize","M","Jiujiebian (Nine Section Whip Chain)-","Group D"
"1466","ANDERSSON Ted Fredrik","SWE","8.58","3RD Prize","M","Jiujiebian (Nine Section Whip Chain)-","Group D"
"1467","JANGID Nakshatra","IND","8.53","","M","Jiujiebian (Nine Section Whip Chain)-","Group D"
"1468","RADULESCU Dan Mihai","ROU","(DNS)","","M","Jiujiebian (Nine Section Whip Chain)-","Group D"
"1469","KWOK Kwan Ho","HKG","(DNS)","","M","Jiujiebian (Nine Section Whip Chain)-","Group D"
"1470","SHI Xiaolong","CHN","9.01","1ST Prize","M","Pudao-","Group D"
"1471","REVA Roman","UKR","8.85","2ND Prize","M","Pudao-","Group D"
"1472","COLLADO SAIZ Francisco","ESP","8.73","2ND Prize","M","Pudao-","Group D"
"1473","LIRA ACOSTA Jesus Alfredo","MEX","8.7","3RD Prize","M","Pudao-","Group D"
"1474","KOW Zer Xuan","MYS","8.65","3RD Prize","M","Pudao-","Group D"
"1475","GONZALEZ MARMOLEJO Luis Arturo","MEX","8.64","3RD Prize","M","Pudao-","Group D"
"1476","RESENDE DE SOUSA Bruno Miguel","PRT","8.58","","M","Pudao-","Group D"
"1477","Connor James BLACK","GBR","8.5","","M","Pudao-","Group D"
"1478","AKYUZ Necmett?N Erbakan","TUR","7.8","","M","Pudao-","Group D"
"1479","KROETZ Benjamin Fritz Ludwig","DEU","(DNS)","","M","Pudao-","Group D"
"1480","WANG Dian","CHN","8.92","1ST Prize","M","Qiang (Spear)-","Group D"
"1481","DAO Vi Dat","VNM","8.61","2ND Prize","M","Qiang (Spear)-","Group D"
"1482","AZEVEDO Miguel Angelo","PRT","8.6","3RD Prize","M","Qiang (Spear)-","Group D"
"1483","BARTOŠ Filip","SVK","8.59","3RD Prize","M","Qiang (Spear)-","Group D"
"1484","DAVNAM Parth","IND","8.22","","M","Qiang (Spear)-","Group D"
